,title,teacher,time,code,credit,Q,content
10,宇宙工学基礎,松永 三郎,水3-4(I121)  木5-6(I121)  ,MEC.M231,2,3,"宇宙工学、宇宙システム全般の基本項目として、
１）人工衛星の運動と制御の基礎となる軌道理論
２）ロケットの運動
について講義します。"
11,デザイン工学,齊藤 滋規,金1-2(石川台3号館201A号室，石川台5号館デザイン工房)  ,MEC.H231,1,4,"本講義のねらいは，新たなプロダクトを創出するためのデザインとエンジニアリングを統合する手段を学ぶため，次の点を中心に講義・実習を行う．
１．新たなプロダクトをデザインするプロセス
２．デザインにおける問題を発見・定義する方法
３．創造的思考のための技術
４．ユーザーのことを探究するための方法
５．デザインが人々，社会，環境に与える影響"
12,機械設計製図基礎 A,轟 章,"金5-7(石川台3号館201A,201C,301,302,303,310号室)  ",MEC.H212,1,3,"現在の人間社会は多種多様な機械によって支えられており，私達エンジニアはよりよい機械を設計し，つくりださなくてはならない．機械を設計する際には，目的とする機能・性能を実現できるようにするだけではなく，安全面，強度面，経済面，環境面なども考慮する必要がある．また設計者は，図面を製図の規則にしたがって正しく描き，製作者に設計の意図を正しく伝える必要がある．本講義では油圧ジャッキの強度設計と製図を通して，機械のモデル化，機械要素の設計法，公差の決定法，機械製図法の基礎を学ぶ．講義では油圧ジャッキの設計書，組み立て図および一部の部品について部品図を作る．部品図はCADを使用して描く．

単純な機械の設計問題を取り上げ，そのモデル化と適切な材料選定，基本的な機械要素の強度設計および機械の製図を通して機械設計製図法の基礎を修得する．"
13,基礎流体力学 A,花村 克悟,木5-8(W241)  ,MEC.F201,2,3,"本講義は、連続体の概念から始まり流体力学の基本概念を与えるものです。この講義では、非粘性流体に関する基礎知識、基礎方程式、オイラーの運動方程式、循環と渦度、ベルヌーイの定理、流線と流関数、速度ポテンシャル等について講義を行います。講義と演習を密接に組み合わせて，機械工学分野における実際の流体機器の設計において重要となる完全流体に関する基礎概念を習得します。

流体力学は機械工学における諸問題を扱う上で根幹となる重要な専門分野であり、本講義は最初に学ぶべき必須科目として位置づけられます。これは，「実在流体力学」や「応用流体力学」といった講義の履修に際して必要となります。"
14,機械システム学,赤坂 大樹,"金3-8(石川台3号館, 201A,201B,, 201C号, 室)  ",MEC.Q201,2,4,"機械工学のリテラシーの実体験を機械の分解等の課題を通して学ぶ．実際に小型ガソリンエンジンや油圧ポンプなど種々の機械装置の分解やARDUINOを使ったライントレーサの作製を通して機械の基本原理，構造，動作，製造法，設計法，制御法の基礎を学び，エンジニアリングの基本的概念を実感的に体得する．加えて，設計者として必須の図面の読み方・書き方の基礎について，実物と図面とを対応させながら実体験で習得する．各2日毎に異なる下記の各項目について，講師による解説，および分解や組立の実習を行なう．
【ライントレーサーの作製】　Arduinoを使用したライントレーサーの作製を通して，制御技術の基礎に触れることでメカトロニクス技術を体験する．半田付けなどの電子回路の実装技術も習得する．
【内燃機関 (ガソリンエンジン)】運輸機器や家庭用発電機において広く用いられているガソリンエンジンを組立て，運転させて，モノ創りの楽しさを経験する．実際に小型ガソリンエンジンを分解して，構造と作動原理を知る．工具の名称，使い方など基本的な作業を体得する．
【油圧機器 (油圧ポンプ)】油圧により稼動する建設機械を対象に，ポンプ，アクチュエータ，制御弁などで構成される油圧システムを理解する．主要な要素である油圧ポンプを分解することで，どのような機構で動き，油圧を発生させるかを理解して，機械技術者としての基礎力を養う．高校で学んだ圧力の法則および仕事と動力との関係を使用した機器の構造を通して機械の動力設計の一端に触れる．"
15,機械設計製図基礎 B,轟 章,"金2-4(石川台3号館201A,201C,301,302,303,310号室)  ",MEC.H212,1,3,"現在の人間社会は多種多様な機械によって支えられており，私達エンジニアはよりよい機械を設計し，つくりださなくてはならない．機械を設計する際には，目的とする機能・性能を実現できるようにするだけではなく，安全面，強度面，経済面，環境面なども考慮する必要がある．また設計者は，図面を製図の規則にしたがって正しく描き，製作者に設計の意図を正しく伝える必要がある．本講義では油圧ジャッキの強度設計と製図を通して，機械のモデル化，機械要素の設計法，公差の決定法，機械製図法の基礎を学ぶ．講義では油圧ジャッキの設計書，組み立て図および一部の部品について部品図を作る．部品図はCADを使用して描く．

単純な機械の設計問題を取り上げ，そのモデル化と適切な材料選定，基本的な機械要素の強度設計および機械の製図を通して機械設計製図法の基礎を修得する．"
16,基礎数値計算法,長崎 孝夫,"月3-4(石川台3号館301,302,303,310号室)  ",MEC.B232,1,4,数値計算法はコンピューターを用いて実用分野の数学問題を解くための手法であり、機械工学の様々な分野の研究開発で利用されている。本講義ではその基礎として、数値計算手法の基本的な考え方を理解するとともに実際に計算プログラムを作成して実行し、数値計算を実際に活用するスキルを習得することをねらいとする。
17,弾塑性力学 A,井上 裕嗣,火5-8(I121)  ,MEC.C211,2,4,"本講義では，弾性体における応力とひずみの関係，二次元弾性論，棒のねじりと板の曲げへの応用，異方性材料の取り扱い方，弾塑性問題の考え方，弾塑性問題の曲げ，ねじり，厚肉円筒への応用を扱う．
金属材料に代表される均質等方性材料および繊維強化プラスチックに代表される異方性材料の弾性変形と弾塑性変形を解析的に取り扱う方法を身に着けてほしい．"
18,機械系応用実験 A,各 教員,"火1-4(石川台1号館204,253号室)  ",MEC.P212,1,4,"本授業科目では，機械工学の中でも，機械力学・材料力学・熱力学・流体力学に関する応用的課題について体験学習をする．実際に機械に触れながら，「強制振動」，「材料の曲げ」，「応力集中」，「熱伝導と熱伝達」，「流体の運動量保存」，「Reynolds」に関する実験を実施し，機械工学に対する理解度を深める．
演習と実験を通して学ぶべき内容は，次の通りである．5～8の項目については，基礎的な事項を扱う．
1. 1・2自由度系の強制振動
2. 材料の曲げ変形と応力集中
3. 二次元熱伝導および対流熱伝達
4. 流体の運動量保存とReynolds
5. 実験レポートの作成方法
6. 課題設定力，実践力および解決力
7. データ収集・処理方法およびまとめ方
8. 考察の仕方"
19,材料力学 B,轟 章,木3-6(S222)  ,MEC.C201,2,2,"本講義では，機械の強度設計に必要となる材料の力学特性を扱うとともに，機械を構成する材料が外力を受けた場合の力学的応答について講義する．まず，材料の力学特性、応力とひずみの関係について説明し，許容応力と安全率の考え方を取り上げる．次に，材料が引張り・圧縮，ねじり，曲げを受けた場合の力学応答について説明する．最後に，弾性ひずみエネルギを利用して材料に生じている未知の変形量と作用している外力を求める方法について紹介する．
機械を構成する強度部材には運転時に引張・圧縮，ねじり，曲げなどの外力が作用するが，部材はこれらの力に耐えうる材質，形状・寸法にしておく必要がある．本講義では，機械を構成する材料の外力に対する力学応答についての基礎知識を修得させ，機械を構成する部材の強度設計の必要性とその方法を理解させることをねらいとしている．"
20,機械材料工学 A,吉野 雅彦,月5-8(W241)  ,MEC.G211,2,3,"【概要】本講義では各種材料のミクロからマクロまでの幅広い性質について取り扱います。具体的には，材料の基本特性の評価法、材料強度、物質の結晶構造，転位、平衡状態図さらに実用的な鉄鋼材料、非鉄材料、非金属材料などについて講義する。
【ねらい】機械や構造物を製作する上で必要な材料の基本的性質について理解することは必須です。すなわち，各材料の持つ特性についての知識に基づいた材料の選択が機械を設計する上で必要となります。このような機械工学技術者に不可欠な材料に関する基礎的素養を習得させるのがねらいです。学ぶべき内容は
材料の基本特性
金属材料の基礎
鉄鋼材料
非鉄金属材料
非金属材料
機能性材料
機械材料の選び方"
21,解析力学基礎（機械）,高原 弘樹,水3-4(S011)  ,MEC.D231,1,4,"【講義概要】
本講義では，運動エネルギー,ポテンシャルエネルギー、仮想仕事のようなスカラー量から運動方程式を導出する方法について講義する．
【ねらい】
機械工学の様々な分野で必要となる基礎方程式や運動方程式を，一般的な考え方に基づいて導出する能力は必須です．本講義ではラグランジュの運動方程式を用いた運動方程式の導出法を修得し，これを基に力学現象をより深く理解し，未知の力学問題を解く能力を養う．"
22,ベクトル解析 B,長谷川 純,火7-8(W241)  ,MEC.B214,1,2,"機械工学（機械系）の分野に進んだ学生を主な対象として，その専門科目（力学，弾性体力学，流体力学，電磁気学など）を学ぶ上で必要不可欠なベクトル解析について，次の点を中心に講義する．
1) ベクトルの代数演算（スカラー積，ベクトル積など）
2) ベクトルの微分（質点の運動，ベクトルの導関数など）
3) ベクトルによる曲線や曲面の計量（フレネ・セレーの法則，2次曲面など）
4) スカラー場の勾配，ベクトル場の発散・回転
5) ベクトル場の積分定理（ガウスの定理，ストークスの定理など）"
23,常微分方程式 A,山崎 敬久,金1-2(W541)  ,MEC.B211,1,1,"本講義では，線形システムおよび非線形システムの解析に用いられる常微分方程式を扱う。1階常微分方程式，高階常微分方程式，フーリエ級数等をテーマとし，常微分方程式の基本解のはたらきについても解説する。座学と演習により，本講義では，工学分野の線形システムおよび非線形システムに広く応用できる数学的手法を提供する。
本講義では，機械工学に関連する諸問題を解決し，機械工学を発展させるために必要な数学の基礎知識として，常微分方程式を取り扱うための基礎能力を身につける。微分演算子等の数学的手法により，本講義で学んだ数学的知識を用いて実際的な問題を解決する醍醐味を味わってほしい。"
24,ロボット機構学 B,武田 行生,火1-4(S222)  ,MEC.I211,2,3,"ロボットは、回転や直進などの関節を複数連結し、必要とされる柔軟かつ高精度な運動を実現している。本科目では，このようなロボットの運動を実現するための基礎科目として、次の点を中心に講義する。
1. ロボットの仕組み（機構）の構造およびその自由度
2. ロボットの機構の運動（変位・速度・加速度）の解析法とその応用
3. ロボットの機構の力の解析法とその応用
4. ロボットの機構構造の総合法（設計法）とその応用
5. 基本的な機構の種類とその特性
6. 駆動部に用いられている減速機等の歯車機構の構造とその減速比の計算方法
上記の内容は、実物を触って考え理解する方法、直感的な理解を得るために図を描いて考え理解する方法、式を用いて理論的・解析的に考え理解する方法からなる。これにより，ロボットの設計における概念設計，基本設計（構造の設計），既存のロボットの改善のための基本的な運動特性の把握およびロボット機構の特性を考慮した軌道設計の基本的な考え方と知識が身に着くことになる．"
25,機械要素及び機械製図 A,野崎 智洋,木3-8(石川台1号館204号室，石川台3号館303，310号室，石川台6号館315号室)  ,MEC.H201,2,1,"本講義では，機械製図の基本ルールを学び，設計科目群の基礎として機械要素基礎とそれを表現するための機械製図基礎を修得することを目的とする。さらに，CADを用いた製図の基礎を学び，機械製図と3Dプリンター，工作機械などとの連携に関する知識を深め，設計科目群講義全般の基礎となる知識と技能を習得する。
第三角法，工業規格，寸法公差，はめあい，幾何公差，CADソフトウェアの基本操作，締結要素，軸要素，動力伝達要素の基礎。"
26,偏微分方程式 B,奥野 喜裕,火5-6(W241)  ,MEC.B213,1,2,"本講義では，偏微分方程式とラプラス変換について講義する．具体的には，1階の偏微分方程式，2階の偏微分方程式，ラプラス変換とその性質，および，ラプラス変換を用いた微分方程式の解法について説明する．講義と演習を密接に組み合わせて，線形システムに広く応用可能な数学的手法の基礎を提供する．
この講義で学ぶ偏微分方程式の解法やラプラス変換は，機械工学での問題の解析だけでなく，様々な工学分野の問題に有用である．講義で学んだ手法を実際の問題に応用し，解決する醍醐味を味わってほしい．
1. 偏微分と偏微分程式
2. 偏微分方程式とその基本解
3. ラプラス変換による解法
4. 積分方程式"
27,機械系基礎実験 B,各 教員,"金5-8(石川台1号館204,253号室)  ",MEC.P211,1,3,"本授業科目では，機械工学分野の中でも材料力学・熱力学・機械力学・流体力学に関する最も基礎的な事項を演習と実験を通じて学習し，機械系の必修科目の講義で学習した事項の理解を深める．実験では，「材料の引張変形と破壊」，「熱電発電と熱サイクルのエネルギー変換効率」，「1・2自由度系の自由振動」，「流体のエネルギー保存と流れの可視化」を行う．
演習と実験を通して学ぶべき内容は，次の通りである．5～8の項目については，初歩的な事項を扱う．
1. 材料の引張変形と破壊
2. 熱電発電と熱サイクルのエネルギー変換効率
3. 1・2自由度系の自由振動
4. 流体のエネルギー保存と流れの可視化
5. 実験レポートの作成方法
6. 課題設定力，実践力および解決力
7. データ収集・処理方法
8. 考察の仕方"
28,基礎流体力学 B,花村 克悟,木5-8(W241)  ,MEC.F201,2,3,"本講義は、連続体の概念から始まり流体力学の基本概念を与えるものです。この講義では、非粘性流体に関する基礎知識、基礎方程式、オイラーの運動方程式、循環と渦度、ベルヌーイの定理、流線と流関数、速度ポテンシャル等について講義を行います。講義と演習を密接に組み合わせて，機械工学分野における実際の流体機器の設計において重要となる完全流体に関する基礎概念を習得します。

流体力学は機械工学における諸問題を扱う上で根幹となる重要な専門分野であり、本講義は最初に学ぶべき必須科目として位置づけられます。これは，「実在流体力学」や「応用流体力学」といった講義の履修に際して必要となります。"
29,確率・統計,阪口 基己,木7-8(I121)  ,MEC.B231,1,4,"この講義では，基本的な確率の復習から始まり，代表的な確率分布と統計量について学んだあと，母数の推定と検定を用いて母集団の特性を説明できるように講義が行われます。
機械工学に関連する諸問題を解決し，機械工学を発展させるためには，様々な数学の基礎知識が必要となります。確率と統計は，以後履修する機械系の様々な講義の履修に際して重要になるのみならず，特にビッグデータを扱う現代において，卒業後の研究，開発，生産等におけるデータの処理と評価に必要不可欠な知識です。積極的に履修されることを期待しています。"
30,偏微分方程式 A,奥野 喜裕,火5-6(W241)  ,MEC.B213,1,2,"本講義では，偏微分方程式とラプラス変換について講義する．具体的には，1階の偏微分方程式，2階の偏微分方程式，ラプラス変換とその性質，および，ラプラス変換を用いた微分方程式の解法について説明する．講義と演習を密接に組み合わせて，線形システムに広く応用可能な数学的手法の基礎を提供する．
この講義で学ぶ偏微分方程式の解法やラプラス変換は，機械工学での問題の解析だけでなく，様々な工学分野の問題に有用である．講義で学んだ手法を実際の問題に応用し，解決する醍醐味を味わってほしい．
1. 偏微分と偏微分程式
2. 偏微分方程式とその基本解
3. ラプラス変換による解法
4. 積分方程式"
31,複素関数論 A,山本 貴富喜,金3-4(W541)  ,MEC.B212,1,1,"概要: 複素数は実数と虚数を組み合わせた数字であり，機械工学の様々な現象を理解するために欠かせない数学のツールである。本講義では，機械系に必要とされる複素関数論の基礎と応用を習得する。複素関数の微分に関する基礎的な概念を理解すると共に，その2階偏微分方程式との関連性と，実関数の積分値の計算への応用手法を修得することで，工学的な問題の解決へと資する数学力を身につける。具体的には，次の点を中心に講義する。
1. 複素変数の関数の微積分を実数値関数の微積分と比較しながら学習することで，複素関数の特徴を理解すると共に計算力を養う。
2. コーシーリーマンの方程式，コーシーの積分定理，ラプラス方程式などを学習することで，複素関数の積分評価においては重要な手法の多くがコーシーの積分定理やコーシーの積分公式から展開されることを学習する。
3. 級数展開や留数の利用による積分法などの応用的事項について学ぶ。"
32,複素関数論 B,山本 貴富喜,金3-4(W541)  ,MEC.B212,1,1,"概要: 複素数は実数と虚数を組み合わせた数字であり，機械工学の様々な現象を理解するために欠かせない数学のツールである。本講義では，機械系に必要とされる複素関数論の基礎と応用を習得する。複素関数の微分に関する基礎的な概念を理解すると共に，その2階偏微分方程式との関連性と，実関数の積分値の計算への応用手法を修得することで，工学的な問題の解決へと資する数学力を身につける。具体的には，次の点を中心に講義する。
1. 複素変数の関数の微積分を実数値関数の微積分と比較しながら学習することで，複素関数の特徴を理解すると共に計算力を養う。
2. コーシーリーマンの方程式，コーシーの積分定理，ラプラス方程式などを学習することで，複素関数の積分評価においては重要な手法の多くがコーシーの積分定理やコーシーの積分公式から展開されることを学習する。
3. 級数展開や留数の利用による積分法などの応用的事項について学ぶ。"
33,弾塑性力学 B,井上 裕嗣,火1-4(I121)  ,MEC.C211,2,4,"本講義では，弾性体における応力とひずみの関係，二次元弾性論，棒のねじりと板の曲げへの応用，異方性材料の取り扱い方，弾塑性問題の考え方，弾塑性問題の曲げ，ねじり，厚肉円筒への応用を扱う．
金属材料に代表される均質等方性材料および繊維強化プラスチックに代表される異方性材料の弾性変形と弾塑性変形を解析的に取り扱う方法を身に着けてほしい．"
34,機械系応用実験 B,各 教員,"火5-8(石川台1号館204,253号室)  ",MEC.P212,1,4,"本授業科目では，機械工学の中でも，機械力学・材料力学・熱力学・流体力学に関する応用的課題について体験学習をする．実際に機械に触れながら，「強制振動」，「材料の曲げ」，「応力集中」，「熱伝導と熱伝達」，「流体の運動量保存」，「Reynolds」に関する実験を実施し，機械工学に対する理解度を深める．
演習と実験を通して学ぶべき内容は，次の通りである．5～8の項目については，基礎的な事項を扱う．
1. 1・2自由度系の強制振動
2. 材料の曲げ変形と応力集中
3. 二次元熱伝導および対流熱伝達
4. 流体の運動量保存とReynolds
5. 実験レポートの作成方法
6. 課題設定力，実践力および解決力
7. データ収集・処理方法およびまとめ方
8. 考察の仕方"
35,実在流体力学 B,青木 尊之,月5-8(W241)  ,MEC.F211,2,4,"本講義では、粘性係数、ナビエ・ストークス方程式、レイノルズ数およびレイノルズの相似則等の基礎的事項から、平行流、平行平板間のクエット・ポアズイユ流、ハーゲン・ポアズイユ流、レイリー問題といった基本的な流れの解法、さらには、ストークス近似、オセーン近似、境界層、圧縮性流などの応用的な項目に関する内容まで網羅した講義を行います。講義と演習を密接に組み合わせて，機械工学分野における実際の流体機器の設計において重要となる粘性流体に関する基礎概念を習得します。

流体力学は機械工学における諸問題を扱う上で根幹となる重要な専門分野であり、この講義では、基礎流体力学で学ぶ非粘性流体に続き、粘性流体に関する基礎知識とそれを利活用できる能力を身に付けます。講義では、学習理解を深めるための演習時間を適宜設けます。"
36,常微分方程式 B,山崎 敬久,金1-2(W541)  ,MEC.B211,1,1,"本講義では，線形システムおよび非線形システムの解析に用いられる常微分方程式を扱う。1階常微分方程式，高階常微分方程式，フーリエ級数等をテーマとし，常微分方程式の基本解のはたらきについても解説する。座学と演習により，本講義では，工学分野の線形システムおよび非線形システムに広く応用できる数学的手法を提供する。
本講義では，機械工学に関連する諸問題を解決し，機械工学を発展させるために必要な数学の基礎知識として，常微分方程式を取り扱うための基礎能力を身につける。微分演算子等の数学的手法により，本講義で学んだ数学的知識を用いて実際的な問題を解決する醍醐味を味わってほしい。"
37,基礎情報処理及び演習（機械）,青木 尊之,"月5-8(石川台3号館302,303,310号室)  ",MEC.K231,2,1,"本授業科目では、実験データの数値解析、製造物の設計開発等でより盛んに利用され始めている数値計算や、社会的重要性が一層高まりつつあるスーパーコンピューターにおける大規模数値計算等に関連する入門的・基礎的知識を獲得し、それを活用する技術を身に付けます。
(1) プログラミング言語として最も代表的なC言語を取り上げ、その基礎的事項を学ぶ。
(2) C言語を用いて工学的な問題に取り組むための基礎的手法を学ぶ。
(3) 解析結果の可視化方法について学習する。
本講義では、計算機システム、OS及びC言語の基礎を学ぶことから始まり、数値解析を工学に応用する際に必要な基礎事項について学習及び演習を行います。"
38,ベクトル解析 A,長谷川 純,火7-8(W241)  ,MEC.B214,1,2,"機械工学（機械系）の分野に進んだ学生を主な対象として，その専門科目（力学，弾性体力学，流体力学，電磁気学など）を学ぶ上で必要不可欠なベクトル解析について，次の点を中心に講義する．
1) ベクトルの代数演算（スカラー積，ベクトル積など）
2) ベクトルの微分（質点の運動，ベクトルの導関数など）
3) ベクトルによる曲線や曲面の計量（フレネ・セレーの法則，2次曲面など）
4) スカラー場の勾配，ベクトル場の発散・回転
5) ベクトル場の積分定理（ガウスの定理，ストークスの定理など）"
39,機械要素及び機械製図 C,野崎 智洋,木3-8(石川台1号館204号室，石川台3号館303，310号室，石川台6号館315号室)  ,MEC.H201,2,1,"本講義では，機械製図の基本ルールを学び，設計科目群の基礎として機械要素基礎とそれを表現するための機械製図基礎を修得することを目的とする。さらに，CADを用いた製図の基礎を学び，機械製図と3Dプリンター，工作機械などとの連携に関する知識を深め，設計科目群講義全般の基礎となる知識と技能を習得する。
第三角法，工業規格，寸法公差，はめあい，幾何公差，CADソフトウェアの基本操作，締結要素，軸要素，動力伝達要素の基礎。"
40,機械要素及び機械製図 B,野崎 智洋,木3-8(石川台1号館204号室，石川台3号館303，310号室，石川台6号館315号室)  ,MEC.H201,2,1,"本講義では，機械製図の基本ルールを学び，設計科目群の基礎として機械要素基礎とそれを表現するための機械製図基礎を修得することを目的とする。さらに，CADを用いた製図の基礎を学び，機械製図と3Dプリンター，工作機械などとの連携に関する知識を深め，設計科目群講義全般の基礎となる知識と技能を習得する。
第三角法，工業規格，寸法公差，はめあい，幾何公差，CADソフトウェアの基本操作，締結要素，軸要素，動力伝達要素の基礎。"
41,機械力学 B,大熊 政明,火5-8(I123)  ,MEC.D201,2,3,"【講義の概要】
機械力学の基本事項である一自由度系振動系の振動特性(固有振動数，周波数応答，共振等)，および，二自由度振動系の振動解析法について講義する．

【ねらい】
機械に発生する工学的および感性的に重要なさまざま振動を分類し，最も基礎である1自由度モデルから多自由度系の基礎としての2自由度モデルまでの基礎的振動解析法を修得し，未知の振動問題を解く能力を養う．"
42,実在流体力学 A,青木 尊之,月5-8(W241)  ,MEC.F211,2,4,"本講義では、粘性係数、ナビエ・ストークス方程式、レイノルズ数およびレイノルズの相似則等の基礎的事項から、平行流、平行平板間のクエット・ポアズイユ流、ハーゲン・ポアズイユ流、レイリー問題といった基本的な流れの解法、さらには、ストークス近似、オセーン近似、境界層、圧縮性流などの応用的な項目に関する内容まで網羅した講義を行います。講義と演習を密接に組み合わせて，機械工学分野における実際の流体機器の設計において重要となる粘性流体に関する基礎概念を習得します。

流体力学は機械工学における諸問題を扱う上で根幹となる重要な専門分野であり、この講義では、基礎流体力学で学ぶ非粘性流体に続き、粘性流体に関する基礎知識とそれを利活用できる能力を身に付けます。講義では、学習理解を深めるための演習時間を適宜設けます。"
43,機械材料工学 B,吉野 雅彦,月5-8(W241)  ,MEC.G211,2,3,"【概要】本講義では各種材料のミクロからマクロまでの幅広い性質について取り扱います。具体的には，材料の基本特性の評価法、材料強度、物質の結晶構造，転位、平衡状態図さらに実用的な鉄鋼材料、非鉄材料、非金属材料などについて講義する。
【ねらい】機械や構造物を製作する上で必要な材料の基本的性質について理解することは必須です。すなわち，各材料の持つ特性についての知識に基づいた材料の選択が機械を設計する上で必要となります。このような機械工学技術者に不可欠な材料に関する基礎的素養を習得させるのがねらいです。学ぶべき内容は
材料の基本特性
金属材料の基礎
鉄鋼材料
非鉄金属材料
非金属材料
機能性材料
機械材料の選び方"
